market,symbol,description,leverage,asset_class
oanda,XAUUSD,Gold,20,Metals
oanda,XAGEUR,Silver/EUR,10,Metals
oanda,XAUGBP,Gold/GBP,20,Metals
oanda,XAUCAD,Gold/CAD,20,Metals
oanda,XAUCHF,Gold/CHF,20,Metals
oanda,XAUXAG,Gold/Silver,10,Metals
oanda,XAUEUR,Gold/EUR,20,Metals
oanda,XAGCHF,Silver/CHF,10,Metals
oanda,XAGCAD,Silver/CAD,10,Metals
oanda,XAGGBP,Silver/GBP,10,Metals
oanda,XAUHKD,Gold/HKD,20,Metals
oanda,XAUJPY,Gold/JPY,20,Metals
oanda,XAGSGD,Silver/SGD,10,Metals
oanda,XAGNZD,Silver/NZD,10,Metals
oanda,XAGJPY,Silver/JPY,10,Metals
oanda,XCUUSD,Copper,10,Metals
oanda,XPTUSD,Platinum,10,Metals
oanda,XPDUSD,Palladium,10,Metals
oanda,SUGARUSD,Sugar,10,Ags
oanda,CORNUSD,Corn,10,Ags
oanda,WHEATUSD,Wheat,10,Ags
oanda,SOYBNUSD,Soybeans,10,Ags
oanda,BCOUSD,Brent Crude Oil,10,OilGas
oanda,NATGASUSD,Natural Gas,10,OilGas
oanda,WTICOUSD,West Texas Oil,10,OilGas
oanda,NAS100USD,US Nas 100,20,Equity
oanda,US30USD,US Wall St 30,20,Equity
oanda,SPX500USD,US SPX 500,20,Equity
oanda,CH20CHF,Swiss 20,10,Equity
oanda,UK100GBP,UK 100,20,Equity
oanda,SG30SGD,Singapore 30,10,Equity
oanda,AU200AUD,Australia 200,20,Equity
oanda,NL25EUR,Netherlands 25,10,Equity
oanda,FR40EUR,France 40,20,Equity
oanda,EU50EUR,Europe 50,20,Equity
oanda,HK33HKD,Hong Kong 33,10,Equity
oanda,US2000USD,US Russ 2000,10,Equity
oanda,DE30EUR,Germany 30,20,Equity
oanda,JP225USD,Japan 225,20,Equity
